,municipio,V1,V2,V3,V8,V9,V10,V17,V20,V21,V25,V26,V34,V39,uf
0,LUPIONOPOLIS,173.0,59.7001,3.23121,25.4335,5.78035,65.3179,28.292,43.9306,24.8555,4149.96,3506.56,48.5549,36.9942,PR
1,AGUAS DE LINDOIA,69.0,28.4016,3.42029,8.69565,46.3768,37.6812,55.4327,36.2319,14.4928,4660.56,0.0,39.1304,46.3768,SP
2,URUARA,3993.0,137.382,3.05109,10.0927,48.4348,39.2938,38.5713,40.4959,6.73679,1954.63,2622.0,30.1277,64.1122,PA
3,SAO LEOPOLDO,65.0,26.785,3.44615,27.6923,1.53846,49.2308,16.5406,30.7692,24.6154,4630.58,0.0,9.23077,40.0,RS
4,VARGEM,228.0,31.9352,3.11404,11.8421,2.19298,67.9825,51.0745,53.5088,17.1053,6247.94,4020.36,12.7193,51.7544,SP
5,TARUMA,80.0,292.574,44.3125,81.25,2.5,11.25,0.896174,5.0,20.0,4578.38,3007.01,86.25,32.5,SP
6,CANAS,41.0,65.3442,3.31707,14.6341,0.0,58.5366,50.9556,9.7561,51.2195,929.752,0.0,39.0244,41.4634,SP
7,VARZEA PAULISTA,8.0,50.7841,2.125,12.5,12.5,37.5,13.8946,0.0,25.0,2105.26,0.0,12.5,37.5,SP
8,MORRO REUTER,360.0,10.754,2.16111,27.5,0.833333,21.6667,6.60475,26.3889,16.1111,3791.3,428.571,40.5556,45.0,RS
9,SAO JOAO DEL REI,953.0,63.7996,2.96747,10.4932,1.46905,85.2046,44.3502,13.2214,73.9769,10006.1,3651.54,39.745,63.7985,MG
10,WESTFALIA,460.0,12.0444,2.58696,19.7826,1.30435,72.1739,17.8008,34.5652,42.1739,6727.15,2987.23,82.6087,69.5652,RS
11,SALES,187.0,96.1306,2.49733,11.7647,26.738,58.8235,18.3323,55.615,12.8342,5280.98,4672.6,44.8649,40.107,SP
12,DIAMANTINO,795.0,737.652,6.65786,37.8616,2.13836,56.8553,14.2707,47.1698,17.1069,5821.41,3340.62,35.9748,35.2201,MT
13,REDENCAO DA SERRA,271.0,70.6427,3.23985,8.48709,2.95203,76.3838,43.9904,47.9705,35.4244,2104.08,0.0,10.1124,43.5424,SP
14,RESENDE,519.0,101.429,2.6262,5.20231,1.34875,87.8613,68.2022,28.3237,53.5645,1139.43,0.0,2.14425,45.6647,RJ
15,VASSOURAS,435.0,100.636,3.84598,11.4943,1.6092,69.8851,72.7488,46.6667,23.2184,1550.88,0.0,12.8736,28.2759,RJ
16,CAMPOS DOS GOYTACAZES,7789.0,32.9076,2.33278,22.8142,2.90153,70.5611,71.8835,36.4874,25.7414,1365.51,0.0,9.88574,57.5684,RJ
17,ITAPERUNA,1596.0,55.7007,2.43233,2.00501,2.13033,93.2331,81.0017,41.9799,44.7995,1382.05,0.0,4.51128,44.7368,RJ
18,JAURU,967.0,141.875,3.22027,1.75801,0.310238,97.1044,87.7564,40.848,56.7735,4405.01,0.0,46.8459,50.1551,MT
19,BARRA DO BUGRES,532.0,715.953,6.13534,16.7293,2.25564,78.0075,44.3987,68.4211,8.83459,5126.85,3000.0,51.3158,42.1053,MT
20,CAMPOS NOVOS,1670.0,90.048,2.9509,43.4132,0.538922,51.7964,18.1393,48.2036,27.2455,10569.1,3902.86,63.4892,50.8982,SC
21,VENTUROSA,1134.0,18.3392,3.08995,9.25926,0.176367,90.5644,49.0433,17.7249,53.1746,935.315,3333.33,1.50177,60.0529,PE
22,ALAGOINHA,1247.0,9.60003,2.56455,44.3464,0.801925,54.2101,53.8866,22.1331,25.3408,569.959,0.0,2.00481,64.3144,PE
23,GUARAPUAVA,2134.0,97.2638,3.47751,41.7057,2.62418,40.9091,13.5275,37.6757,21.8369,10832.2,3826.61,53.2334,53.2802,PR
24,SANTA CRUZ CABRALIA,884.0,121.313,5.39932,35.2941,19.0045,33.1448,20.9897,23.4163,17.7602,1481.56,0.0,11.5385,50.2262,BA
25,PORTO SEGURO,1538.0,89.2008,5.39727,27.9584,37.3862,26.528,38.7516,12.6138,10.013,2461.64,0.0,25.7813,40.6372,BA
26,CRISTALINA,1763.0,239.823,7.8945,27.3398,2.26886,63.9818,21.9021,35.3375,29.0981,6158.1,3297.51,32.388,47.7595,GO
27,PIRATINI,2697.0,97.242,2.4746,26.7334,0.593252,71.1161,52.3077,77.0486,12.0133,2839.77,3021.79,15.3504,59.8814,RS
28,DOM PEDRITO,1119.0,419.829,4.0134,24.0393,0.625559,72.5648,60.0612,77.2118,7.59607,4598.79,2909.61,31.426,36.7292,RS
29,MORRINHOS DO SUL,592.0,12.729,2.49831,8.78378,87.3311,1.85811,29.5267,34.2905,7.93919,1919.58,5000.0,68.9189,75.6757,RS
30,BALNEARIO GAIVOTA,178.0,37.0129,2.91011,29.2135,19.1011,40.4494,41.0064,47.7528,16.2921,4722.76,0.0,55.618,51.6854,SC
31,CACAPAVA DO SUL,2653.0,99.9419,2.51904,17.8289,0.82925,77.8741,63.0329,66.83,12.9288,2603.46,2835.64,12.902,57.9721,RS
32,SAO SEPE,1587.0,119.561,3.13611,42.6591,0.693132,55.1355,46.1572,58.9162,9.70384,3135.37,3055.52,41.2508,53.8122,RS
33,JAGUARI,1552.0,40.6514,2.68557,65.9149,1.86856,30.2835,51.0725,67.268,10.6959,3697.43,3037.03,77.7062,75.7732,RS
34,MANOEL VIANA,647.0,190.377,2.88408,36.6306,0.15456,62.1329,62.8364,69.7063,18.0835,6697.1,3025.96,41.0217,65.2241,RS
35,SAO FRANCISCO DE ASSIS,2325.0,104.903,2.51441,46.5806,0.258065,52.172,62.4319,81.0753,7.22581,4181.47,3187.91,57.8811,68.172,RS
36,NOVA BRESCIA,482.0,16.7341,2.60581,15.5602,2.90456,56.0166,16.1245,25.9336,41.7012,5239.72,3945.71,71.5768,67.8423,RS
37,JARI,945.0,77.7085,2.50582,57.1429,0.21164,42.328,42.8277,69.1005,19.0476,5567.22,3380.76,68.6772,80.9524,RS
38,MONTE BELO DO SUL,463.0,11.336,5.25054,1.51188,93.9525,2.59179,6.74405,15.3348,16.8467,3706.79,0.0,95.6803,73.0022,RS
39,QUEVEDOS,562.0,83.9905,2.9911,59.2527,0.0,40.7473,42.5999,73.3096,14.2349,2661.55,3643.03,69.697,69.9288,RS
40,SOMBRIO,602.0,12.2351,3.23588,51.9934,29.9003,15.4485,25.6593,35.8804,19.7674,5111.39,0.0,80.0664,68.7708,SC
41,ANTONIO CARLOS,545.0,12.1464,2.57798,20.9174,5.3211,18.7156,16.9985,45.8716,2.56881,6459.97,0.0,65.6881,75.0459,SC
42,APORE,275.0,889.301,6.34545,4.72727,1.09091,92.7273,63.0141,82.1818,11.6364,5639.84,3283.41,16.0,27.6364,GO
43,LAGOA VERMELHA,1034.0,82.1406,3.19826,50.9671,1.45068,45.7447,18.367,44.294,32.1083,8099.71,3639.92,73.4043,63.7331,RS
44,LAGES,1389.0,187.805,3.54212,13.031,0.719942,70.1944,55.9512,57.0914,23.1102,5911.41,3158.4,24.0634,45.7883,SC
45,SAO DOMINGOS,653.0,43.5426,3.09342,51.7611,0.153139,46.5544,15.3317,29.4028,47.1669,10589.5,3475.05,93.1087,62.3277,SC
46,PAICANDU,179.0,78.5785,3.4581,84.9162,0.0,13.4078,2.64612,12.2905,7.82123,5392.79,2905.04,85.4749,40.2235,PR
47,PLANALTO ALEGRE,357.0,15.4669,2.56863,33.3333,0.840336,58.2633,30.2651,26.0504,51.5406,7220.72,2375.35,87.9552,63.3053,SC
48,INDIANOPOLIS,398.0,23.1627,2.69598,17.3367,7.03518,69.0955,34.5295,56.5327,10.804,3626.7,1938.28,43.2161,45.4774,PR
49,GALVAO,270.0,41.0508,3.81481,34.4444,0.0,64.4444,29.7748,29.2593,57.7778,7993.25,3195.71,87.037,57.4074,SC
50,TIBAGI,1040.0,219.473,4.48846,53.5577,2.01923,35.1923,11.5801,32.0192,13.2692,8248.5,3861.8,61.0577,53.4615,PR
51,PERITIBA,354.0,22.3931,2.53672,27.4011,2.82486,66.3842,25.2555,28.2486,60.1695,6984.25,3128.39,65.2542,40.9605,SC
52,RIO GRANDE DA SERRA,5.0,3.8944,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,SP
53,ESPERANCA NOVA,352.0,37.3788,2.24716,7.95455,3.97727,86.0795,82.4454,58.2386,28.4091,979.163,0.0,14.245,55.1136,PR
54,SAO CAETANO DO SUL,5.0,0.883,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,SP
55,TERRA BOA,451.0,57.5557,2.61197,42.5721,10.643,41.9069,7.31358,33.2594,4.21286,4618.47,3295.77,50.3326,47.4501,PR
56,JANDIRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SP
57,TAGUAI,165.0,58.0092,3.93333,10.9091,32.7273,50.303,62.0498,65.4545,9.09091,5641.04,3867.89,50.9091,54.5455,SP
58,SALTO,73.0,66.3105,7.75342,26.0274,4.10959,45.2055,33.8635,27.3973,10.9589,5148.45,2835.85,52.0548,32.8767,SP
59,JACAREI,398.0,48.699,7.65829,7.78894,5.52764,60.3015,62.1121,34.6734,23.8693,706.645,0.0,18.9394,38.191,SP
60,JATAIZINHO,222.0,60.9195,3.33333,47.2973,5.40541,40.5405,30.3751,26.5766,11.7117,4621.73,3381.83,55.4054,35.1351,PR
61,LOUVEIRA,136.0,8.9206,5.5,8.08823,62.5,7.35294,13.5567,2.20588,0.735294,2055.62,0.0,81.6176,61.0294,SP
62,CANITAR,21.0,292.521,6.80952,85.7143,0.0,9.52381,4.88431,0.0,14.2857,5105.13,3301.7,57.1429,33.3333,SP
63,ARRAIAL DO CABO,7.0,0.312143,2.28571,14.2857,14.2857,57.1429,0.0,0.0,0.0,0.0,0.0,0.0,57.1429,RJ
64,MARICA,294.0,35.2684,2.17687,12.2449,21.0884,61.5646,47.8846,29.2517,9.52381,2255.99,0.0,1.70068,44.2177,RJ
65,TANGUA,441.0,22.5484,2.49206,10.4308,65.0794,21.0884,46.9606,17.4603,2.26757,2706.9,0.0,52.8345,60.3175,RJ
66,SANTO INACIO,225.0,121.238,5.01778,32.8889,2.22222,64.0,28.396,44.8889,31.5556,4294.47,3131.3,55.5556,44.4444,PR
67,RIBEIRAO DO SUL,253.0,77.1623,2.75099,49.0119,16.996,27.2727,8.62913,18.1818,14.6245,5196.22,3625.29,68.3794,42.2925,SP
68,LINDOIA,64.0,30.7128,3.95313,10.9375,21.875,54.6875,54.7973,42.1875,31.25,5191.51,0.0,32.8125,45.3125,SP
