,ano,uf,area
0,2019,AP,1487.18
0,2019,TO,103801.63
0,2019,PA,298440.71
0,2019,RS,1154.58
0,2019,SP,369.37999999999994
0,2019,SC,493.54
0,2019,PR,2157.08
0,2019,AL,58.940000000000005
0,2019,CE,844.8199999999999
0,2019,PB,11.08
0,2019,BA,66118.13
0,2019,PE,134.04
0,2019,GO,33432.94
0,2019,ES,107.33
0,2019,MT,201135.69
0,2019,PI,42377.130000000005
0,2019,MS,26068.47
0,2019,MA,81087.5
0,2019,RN,71.88
0,2019,SE,256.69
0,2019,RJ,125.02
0,2019,MG,26192.949999999997
0,2019,AM,126163.31999999999
0,2019,RO,122231.26999999999
0,2019,RR,23993.239999999998
0,2019,AC,57667.579999999994
0,2019,DF,96.49
0,2020,AP,1667.35
0,2020,TO,110201.36
0,2020,PA,386526.42000000004
0,2020,RS,2164.04
0,2020,SP,528.63
0,2020,SC,1753.3899999999999
0,2020,PR,5669.27
0,2020,AL,950.5
0,2020,CE,8969.55
0,2020,PB,2785.41
0,2020,BA,116863.68
0,2020,PE,3809.12
0,2020,GO,54051.509999999995
0,2020,ES,241.70999999999998
0,2020,MT,201572.16
0,2020,PI,77193.13
0,2020,MS,51404.119999999995
0,2020,MA,233258.69999999998
0,2020,RN,3968.12
0,2020,SE,828.4300000000002
0,2020,RJ,317.02
0,2020,MG,46315.07000000001
0,2020,AM,133393.1
0,2020,RO,118131.13
0,2020,RR,23110.089999999997
0,2020,AC,58340.45
0,2020,DF,157.14999999999998
0,2021,AP,785.65
0,2021,TO,63527.27
0,2021,PA,411028.1099999999
0,2021,RS,3759.49
0,2021,SP,468.09000000000003
0,2021,SC,1489.17
0,2021,PR,7141.84
0,2021,AL,925.38
0,2021,CE,20797.29
0,2021,PB,6944.099999999999
0,2021,BA,152277.33
0,2021,PE,14636.16
0,2021,GO,31273.489999999998
0,2021,ES,160.86
0,2021,MT,190535.47
0,2021,PI,69170.01
0,2021,MS,55625.07
0,2021,MA,172455.97999999998
0,2021,RN,6694.61
0,2021,SE,1429.33
0,2021,RJ,160.01999999999998
0,2021,MG,47375.490000000005
0,2021,AM,199333.55
0,2021,RO,131277.94
0,2021,RR,22252.92
0,2021,AC,66035.48000000001
0,2021,DF,127.11999999999999
0,2022,AP,920.5700000000002
0,2022,TO,82733.91
0,2022,PA,418859.75
0,2022,RS,5238.17
0,2022,SP,789.88
0,2022,SC,2341.1099999999997
0,2022,PR,4129.11
0,2022,AL,3094.34
0,2022,CE,13303.29
0,2022,PB,5182.7
0,2022,PE,12155.95
0,2022,BA,201983.24
0,2022,GO,30879.19
0,2022,ES,557.33
0,2022,MT,223789.55
0,2022,PI,121838.49000000002
0,2022,MS,48806.97
0,2022,MA,165512.8
0,2022,RN,3141.4300000000003
0,2022,SE,3683.53
0,2022,RJ,507.64
0,2022,MG,47629.9
0,2022,AM,266344.34
0,2022,RO,131222.3
0,2022,RR,22657.51
0,2022,AC,86090.82999999999
0,2022,DF,89.84
0,2023,TO,55.0
0,2023,PA,102.03999999999999
0,2023,RS,349.33
0,2023,SP,18.619999999999997
0,2023,SC,226.39000000000004
0,2023,PR,422.28000000000003
0,2023,AL,100.28999999999999
0,2023,PB,7.569999999999999
0,2023,BA,101.86000000000001
0,2023,PE,121.78000000000002
0,2023,GO,0.0
0,2023,ES,4.19
0,2023,MT,2617.6
0,2023,PI,117.57
0,2023,MS,87.43
0,2023,MA,0.0
0,2023,RN,23.35
0,2023,SE,184.82
0,2023,RJ,29.17
0,2023,MG,270.46999999999997
0,2023,AM,265.62
0,2023,RO,460.65999999999997
0,2023,RR,524.05
0,2023,AC,114.17
