,ano,uf,area
0,2016,AP,11348.599999999999
0,2016,MT,724381.8999999999
0,2016,AM,180222.30000000002
0,2016,RO,100790.79999999999
0,2016,RR,339428.1
0,2016,AC,41486.899999999994
0,2016,TO,82945.8
0,2016,MA,346121.10000000003
0,2016,PA,744032.0
0,2017,AP,1503.1999999999998
0,2017,MT,830187.2
0,2017,AM,69199.2
0,2017,RO,111638.79999999999
0,2017,RR,10282.6
0,2017,AC,11338.9
0,2017,TO,72628.79999999999
0,2017,MA,149106.2
0,2017,PA,959119.3999999999
0,2018,AP,610.0999999999999
0,2018,MT,651225.3
0,2018,AM,113141.1
0,2018,RO,121549.2
0,2018,RR,51391.1
0,2018,AC,31294.0
0,2018,TO,58042.0
0,2018,MA,78321.0
0,2018,PA,498299.8
0,2019,AP,1366.6000000000001
0,2019,AM,177974.1
0,2019,MT,911696.7
0,2019,RO,177912.6
0,2019,RR,178325.0
0,2019,AC,57491.90000000001
0,2019,TO,3557.0
0,2019,MA,22879.3
0,2019,PA,733472.4
0,2020,AP,623.3
0,2020,MT,1498076.5
0,2020,AM,160949.9
0,2020,RO,179608.1
0,2020,RR,31590.699999999997
0,2020,AC,60838.0
0,2020,TO,5938.199999999999
0,2020,MA,23001.0
0,2020,PA,903991.5999999999
0,2021,AP,445.3
0,2021,AM,238693.4
0,2021,MT,656044.6
0,2021,RO,183815.0
0,2021,RR,13168.699999999999
0,2021,AC,68223.3
0,2021,TO,1108.4
0,2021,MA,10303.8
0,2021,PA,565596.8
0,2022,AP,4049.0000000000005
0,2022,MT,1299286.1
0,2022,AM,361770.2
0,2022,RO,172753.4
0,2022,RR,23731.0
0,2022,AC,102043.40000000001
0,2022,TO,1902.8999999999999
0,2022,MA,15176.8
0,2022,PA,868539.0
0,2023,AP,246.00000000000003
0,2023,AM,34235.700000000004
0,2023,MT,91272.5
0,2023,RO,15429.4
0,2023,RR,13592.3
0,2023,AC,1682.6999999999998
0,2023,TO,223.59999999999997
0,2023,MA,1308.3000000000002
0,2023,PA,39841.5
