,ano,uf,area
0,2018,MG,44144.5
0,2018,SP,1355.7
0,2018,MT,106307.5
0,2018,RO,140.60000000000002
0,2018,PR,206.29999999999998
0,2018,BA,66329.5
0,2018,PI,44161.8
0,2018,MS,29294.5
0,2018,TO,199326.2
0,2018,MA,107115.90000000001
0,2018,DF,402.4
0,2018,GO,60821.5
0,2019,MG,35031.0
0,2019,MT,74808.9
0,2019,SP,189.5
0,2019,RO,30.799999999999997
0,2019,PR,80.0
0,2019,BA,67532.90000000001
0,2019,TO,117042.6
0,2019,PI,37517.8
0,2019,MS,14609.2
0,2019,MA,76719.6
0,2019,DF,323.8
0,2019,GO,52321.1
0,2020,MG,23669.199999999997
0,2020,MT,56027.5
0,2020,SP,701.0999999999999
0,2020,RO,5.5
0,2020,BA,68642.5
0,2020,PI,33105.4
0,2020,MS,18240.300000000003
0,2020,TO,84371.2
0,2020,MA,122349.3
0,2020,DF,192.5
0,2020,PA,86.3
0,2020,GO,32687.799999999996
0,2021,MG,32160.4
0,2021,MT,44650.7
0,2021,SP,62.10000000000001
0,2021,PR,12.9
0,2021,BA,85966.3
0,2021,TO,74867.5
0,2021,MS,23956.7
0,2021,PI,36185.6
0,2021,MA,122690.49999999999
0,2021,DF,216.60000000000002
0,2021,GO,31961.100000000002
0,2022,MG,25695.9
0,2022,MT,44875.100000000006
0,2022,SP,271.2
0,2022,RO,1008.4999999999999
0,2022,PR,176.1
0,2022,BA,133533.8
0,2022,PI,76321.8
0,2022,MS,19584.8
0,2022,TO,83735.7
0,2022,MA,128514.0
0,2022,DF,161.0
0,2022,PA,7229.3
0,2022,GO,25269.8
0,2023,MG,10319.699999999999
0,2023,MT,15145.900000000001
0,2023,SP,4.9
0,2023,RO,323.9
0,2023,PR,6.8
0,2023,BA,83678.1
0,2023,TO,35036.6
0,2023,PI,27735.299999999996
0,2023,MS,9162.8
0,2023,MA,35184.8
0,2023,DF,183.2
0,2023,PA,2789.4
0,2023,GO,11912.5
