,ano,uf,area
0,2016,AP,1241.3974140362095
0,2016,AM,100384.87778121195
0,2016,MT,139800.72487552534
0,2016,RO,119419.06987330952
0,2016,RR,22852.873589154988
0,2016,AC,36633.37749119378
0,2016,TO,5346.1801205331585
0,2016,MA,24723.81415375187
0,2016,PA,276432.44784296304
0,2017,AP,1726.8302028745293
0,2017,AM,100995.97752379855
0,2017,MT,145326.7843833202
0,2017,RO,127796.29663492703
0,2017,RR,12188.157656987081
0,2017,AC,24588.76014207414
0,2017,TO,2815.6130809538554
0,2017,MA,27298.484467111382
0,2017,PA,257292.44021535185
0,2018,AP,2456.6868508378793
0,2018,MT,143586.25866993575
0,2018,AM,105124.32341121364
0,2018,RO,121184.63503774369
0,2018,RR,12664.818891706931
0,2018,AC,42671.92525740764
0,2018,TO,2278.4667649330395
0,2018,MA,18325.254236614353
0,2018,PA,260913.2631105771
0,2019,AP,3906.157492050756
0,2019,MT,188182.84365665953
0,2019,AM,155689.14681750364
0,2019,RO,140105.94952029642
0,2019,RR,54346.34395070919
0,2019,AC,70693.90863272491
0,2019,TO,2814.026094497891
0,2019,MA,27267.975878567035
0,2019,PA,446588.7178360003
0,2020,AP,1034.4819847673973
0,2020,MT,181917.31820272247
0,2020,AM,142040.88669432007
0,2020,RO,130749.04368596211
0,2020,RR,32161.866703736086
0,2020,AC,66081.9116175972
0,2020,TO,2513.8961312180777
0,2020,MA,31569.79161201429
0,2020,PA,461929.79253445944
0,2021,AP,1608.9384739468326
0,2021,AM,216709.85380876748
0,2021,MT,197495.34423462488
0,2021,RO,164804.5255883547
0,2021,RR,28369.09598763855
0,2021,AC,89261.09731432018
0,2021,TO,3214.7451908221365
0,2021,MA,31701.312912481917
0,2021,PA,508558.9043156473
0,2022,AP,1407.174440089377
0,2022,AM,304768.4043418366
0,2022,MT,202174.50211997636
0,2022,RO,145219.9420578922
0,2022,RR,29318.3543713044
0,2022,AC,100586.39714607375
0,2022,TO,3095.6182114594044
0,2022,MS,9.676554789917171
0,2022,MA,29974.47925832987
0,2022,PA,453123.71495029615
0,2008,AP,9991.568042928422
0,2008,MT,342409.4900543448
0,2008,AM,61254.21622821558
0,2008,RO,108619.11907994415
0,2008,RR,66531.97529809248
0,2008,AC,28926.108248334964
0,2008,TO,10436.363563429933
0,2008,MA,139933.68871396495
0,2008,PA,563738.4955941207
0,2009,AP,4816.68316383397
0,2009,MT,81847.93431449341
0,2009,AM,34505.54431006221
0,2009,RO,42586.22595551567
0,2009,RR,11132.474178099335
0,2009,AC,16173.894548160302
0,2009,TO,5766.001899195684
0,2009,MA,78552.77117479526
0,2009,PA,355843.84706288844
0,2010,AP,7236.628809644266
0,2010,MT,77386.17018936084
0,2010,AM,54638.01917261734
0,2010,RO,43104.027292191735
0,2010,RR,23514.44704274204
0,2010,AC,26536.68582598894
0,2010,TO,5290.478964110689
0,2010,MA,60203.94677037104
0,2010,PA,331764.9380144981
0,2011,AP,1676.6478069968139
0,2011,AM,50811.588211167924
0,2011,MT,106051.50997280313
0,2011,RO,76321.64628390668
0,2011,RR,12962.161978676624
0,2011,AC,29606.055093048075
0,2011,TO,3374.369603530903
0,2011,MA,37685.97788967089
0,2011,PA,251025.28961918355
0,2012,AP,1952.7490927118997
0,2012,MT,78892.3750633146
0,2012,AM,47116.61248038502
0,2012,RO,69171.59260699735
0,2012,RR,10747.20019696252
0,2012,AC,27059.72747899349
0,2012,TO,4763.924512408774
0,2012,MA,33485.90400126919
0,2012,PA,169880.32217506337
0,2013,AP,2478.3778784742058
0,2013,AM,48097.36125534291
0,2013,MT,110646.87321620119
0,2013,RO,96377.85376870976
0,2013,RR,14841.412189535135
0,2013,AC,20024.00702851661
0,2013,TO,7711.606716696472
0,2013,MA,29738.897413640494
0,2013,PA,210066.70034038177
0,2014,AP,2910.5426206371753
0,2014,MT,110620.99334512663
0,2014,AM,55282.43291380005
0,2014,RO,76130.19897418703
0,2014,RR,18905.890046536246
0,2014,AC,34860.95670054135
0,2014,TO,4506.402780051188
0,2014,MA,28636.548394789217
0,2014,PA,179688.99684749957
0,2015,AP,1910.9309712492286
0,2015,MT,149552.29973691015
0,2015,AM,68735.9230161274
0,2015,RO,96072.15314889475
0,2015,RR,15429.364635726037
0,2015,AC,22300.373894584376
0,2015,TO,5530.111998298669
0,2015,MA,21741.806094801992
0,2015,PA,230509.37776943643
