,ano,uf,area
0,2016,MG,35209.8
0,2016,MT,127179.0
0,2016,SP,207.89999999999998
0,2016,RO,4548.900000000001
0,2016,PR,433.6
0,2016,BA,64895.0
0,2016,PI,96602.79999999999
0,2016,TO,163807.3
0,2016,MS,31963.5
0,2016,MA,128111.2
0,2016,DF,255.99999999999997
0,2016,PA,29318.0
0,2016,GO,67162.0
0,2017,MG,49872.0
0,2017,MT,102848.5
0,2017,SP,171.1
0,2017,RO,143.39999999999998
0,2017,PR,254.4
0,2017,BA,65890.7
0,2017,PI,56624.899999999994
0,2017,TO,172195.30000000002
0,2017,MS,26501.9
0,2017,MA,150181.8
0,2017,DF,553.4000000000001
0,2017,PA,204.79999999999998
0,2017,GO,86290.9
0,2018,MG,47591.5
0,2018,MT,104913.4
0,2018,SP,914.6
0,2018,RO,1760.8999999999996
0,2018,PR,75.8
0,2018,BA,59800.100000000006
0,2018,PI,74384.29999999999
0,2018,MS,25868.5
0,2018,TO,158731.1
0,2018,MA,157075.8
0,2018,DF,818.1
0,2018,PA,19807.800000000003
0,2018,GO,74226.9
0,2019,MG,47614.5
0,2019,MT,88372.6
0,2019,SP,373.5
0,2019,RO,833.1
0,2019,PR,43.699999999999996
0,2019,BA,71475.20000000001
0,2019,PI,42572.8
0,2019,TO,153339.4
0,2019,MS,25641.0
0,2019,MA,134121.6
0,2019,DF,266.1
0,2019,PA,425.3
0,2019,GO,66821.0
0,2020,MG,62170.2
0,2020,MT,77009.6
0,2020,SP,556.6999999999999
0,2020,RO,2352.6
0,2020,PR,170.10000000000002
0,2020,BA,76879.2
0,2020,TO,158472.9
0,2020,PI,87998.1
0,2020,MS,29934.0
0,2020,MA,189869.80000000002
0,2020,DF,477.80000000000007
0,2020,PA,31258.399999999998
0,2020,GO,73349.6
0,2021,MG,80258.29999999999
0,2021,MT,80328.7
0,2021,SP,128.4
0,2021,RO,1820.8
0,2021,PR,6.8999999999999995
0,2021,BA,92510.1
0,2021,TO,171052.6
0,2021,MS,28766.4
0,2021,PI,58368.0
0,2021,MA,228165.59999999998
0,2021,DF,454.6
0,2021,PA,19216.8
0,2021,GO,92045.6
0,2022,MG,80270.90000000001
0,2022,MT,74209.2
0,2022,SP,383.49999999999994
0,2022,RO,1291.6000000000004
