,municipio,ano,uf,area_ha
0,ABADIA DE GOIAS,2020.0,GO,11.16
1,ABADIA DOS DOURADOS,2019.0,MG,29.72
2,ABADIA DOS DOURADOS,2020.0,MG,44.190000000000005
3,ABADIA DOS DOURADOS,2021.0,MG,33.1
4,ABADIA DOS DOURADOS,2022.0,MG,19.48
5,ABADIANIA,2019.0,GO,144.71
6,ABADIANIA,2020.0,GO,39.75
7,ABADIANIA,2021.0,GO,168.96
8,ABADIANIA,2022.0,GO,198.35
9,ABAETE,2019.0,MG,231.76999999999998
10,ABAETE,2020.0,MG,237.89
11,ABAETE,2021.0,MG,134.27
12,ABAETE,2022.0,MG,69.68
13,ABAETETUBA,2019.0,PA,7.68
14,ABAETETUBA,2020.0,PA,140.38
15,ABAETETUBA,2021.0,PA,52.12
16,ABAETETUBA,2022.0,PA,9.620000000000001
17,ABAIARA,2020.0,CE,121.51
18,ABAIARA,2021.0,CE,22.08
19,ABAIARA,2022.0,CE,2.88
20,ABAIRA,2021.0,BA,24.880000000000003
21,ABAIRA,2022.0,BA,2.01
22,ABARE,2021.0,BA,7.949999999999999
23,ABARE,2022.0,BA,4.25
24,ABATIA,2023.0,PR,1.47
25,ABDON BATISTA,2019.0,SC,21.79
26,ABDON BATISTA,2021.0,SC,1.43
27,ABDON BATISTA,2022.0,SC,7.71
28,ABEL FIGUEIREDO,2019.0,PA,335.19
29,ABEL FIGUEIREDO,2020.0,PA,80.74000000000001
30,ABEL FIGUEIREDO,2021.0,PA,53.99
31,ABEL FIGUEIREDO,2022.0,PA,439.14
32,ABELARDO LUZ,2020.0,SC,23.89
33,ABELARDO LUZ,2021.0,SC,2.09
34,ABELARDO LUZ,2022.0,SC,20.85
35,ABRE CAMPO,2020.0,MG,2.3
36,ABRE CAMPO,2021.0,MG,5.67
37,ABRE CAMPO,2022.0,MG,1.39
38,ABREULANDIA,2019.0,TO,957.55
39,ABREULANDIA,2020.0,TO,2988.63
40,ABREULANDIA,2021.0,TO,614.41
41,ABREULANDIA,2022.0,TO,856.1800000000001
42,ACAILANDIA,2019.0,MA,976.06
43,ACAILANDIA,2020.0,MA,2363.9
44,ACAILANDIA,2021.0,MA,738.33
45,ACAILANDIA,2022.0,MA,1489.94
46,ACAJUTIBA,2021.0,BA,35.14
47,ACARA,2019.0,PA,507.29
48,ACARA,2020.0,PA,888.99
49,ACARA,2021.0,PA,591.71
50,ACARA,2022.0,PA,550.7
51,ACARAPE,2021.0,CE,13.66
52,ACARAPE,2022.0,CE,10.22
53,ACARAU,2020.0,CE,241.61999999999998
54,ACARAU,2021.0,CE,49.79
55,ACARAU,2022.0,CE,150.06
56,ACARI,2020.0,RN,4.55
57,ACARI,2021.0,RN,3.68
58,ACAUA,2020.0,PI,110.96
59,ACAUA,2021.0,PI,127.8
60,ACAUA,2022.0,PI,77.65
61,ACOPIARA,2020.0,CE,243.99
62,ACOPIARA,2021.0,CE,445.86
63,ACOPIARA,2022.0,CE,249.08
64,ACORIZAL,2019.0,MT,89.56
65,ACORIZAL,2020.0,MT,211.94
66,ACRELANDIA,2019.0,AC,1238.57
67,ACRELANDIA,2020.0,AC,1435.38
68,ACRELANDIA,2021.0,AC,1756.15
69,ACRELANDIA,2022.0,AC,2012.63
70,ACREUNA,2019.0,GO,10.11
71,ACREUNA,2020.0,GO,28.49
72,ACREUNA,2021.0,GO,33.03
73,ACREUNA,2022.0,GO,4.55
74,ACU,2020.0,RN,15.5
75,ACU,2021.0,RN,191.29000000000002
76,ACU,2022.0,RN,367.12
77,ACUCENA,2020.0,MG,54.5
78,ACUCENA,2021.0,MG,24.38
79,ACUCENA,2022.0,MG,26.2
80,ADRIANOPOLIS,2019.0,PR,52.019999999999996
81,ADRIANOPOLIS,2020.0,PR,169.96
82,ADRIANOPOLIS,2021.0,PR,73.46000000000001
83,ADRIANOPOLIS,2022.0,PR,34.72
84,ADUSTINA,2020.0,BA,51.13
85,ADUSTINA,2021.0,BA,100.66
86,ADUSTINA,2022.0,BA,16.03
87,AFOGADOS DA INGAZEIRA,2020.0,PE,34.26
88,AFOGADOS DA INGAZEIRA,2021.0,PE,172.87
89,AFOGADOS DA INGAZEIRA,2022.0,PE,162.57
90,AFONSO BEZERRA,2020.0,RN,292.43
91,AFONSO BEZERRA,2021.0,RN,119.3
92,AFONSO BEZERRA,2022.0,RN,28.4
93,AFONSO CLAUDIO,2019.0,ES,7.68
94,AFONSO CLAUDIO,2021.0,ES,2.82
95,AFONSO CLAUDIO,2022.0,ES,19.31
96,AFONSO CLAUDIO,2023.0,ES,0.0
97,AFONSO CUNHA,2019.0,MA,853.03
98,AFONSO CUNHA,2020.0,MA,826.3799999999999
99,AFONSO CUNHA,2021.0,MA,194.07
100,AFONSO CUNHA,2022.0,MA,68.44
101,AFRANIO,2020.0,PE,102.61
102,AFRANIO,2021.0,PE,156.71
103,AFRANIO,2022.0,PE,30.009999999999998
104,AFUA,2019.0,PA,21.67
105,AFUA,2020.0,PA,36.16
106,AFUA,2021.0,PA,45.53
107,AFUA,2022.0,PA,21.13
108,AGRICOLANDIA,2019.0,PI,2.82
109,AGRICOLANDIA,2020.0,PI,105.48
110,AGRICOLANDIA,2021.0,PI,23.77
111,AGROLANDIA,2021.0,SC,7.36
112,AGROLANDIA,2022.0,SC,9.4
113,AGRONOMICA,2021.0,SC,1.49
114,AGRONOMICA,2022.0,SC,0.49
115,AGUA AZUL DO NORTE,2019.0,PA,880.91
116,AGUA AZUL DO NORTE,2020.0,PA,728.5
117,AGUA AZUL DO NORTE,2021.0,PA,293.23
118,AGUA AZUL DO NORTE,2022.0,PA,313.57
119,AGUA BOA,2019.0,MG,950.5999999999999
120,AGUA BOA,2020.0,MG,1241.08
121,AGUA BOA,2021.0,MT,479.51
122,AGUA BOA,2022.0,MG,1201.58
123,AGUA BOA,2023.0,MT,0.0
124,AGUA BRANCA,2020.0,PB,63.41
125,AGUA BRANCA,2021.0,PB,215.47
126,AGUA BRANCA,2022.0,PB,91.27
127,AGUA CLARA,2019.0,MS,332.71
128,AGUA CLARA,2020.0,MS,511.52000000000004
129,AGUA CLARA,2021.0,MS,959.24
130,AGUA CLARA,2022.0,MS,683.49
131,AGUA COMPRIDA,2022.0,MG,2.27
132,AGUA DOCE,2019.0,SC,3.21
133,AGUA DOCE,2020.0,SC,33.24
134,AGUA DOCE,2021.0,SC,16.2
135,AGUA DOCE,2022.0,SC,71.62
136,AGUA DOCE,2023.0,SC,27.78
137,AGUA DOCE DO MARANHAO,2020.0,MA,410.59
138,AGUA DOCE DO MARANHAO,2021.0,MA,408.62
139,AGUA DOCE DO MARANHAO,2022.0,MA,58.76
140,AGUA DOCE DO NORTE,2022.0,ES,45.010000000000005
141,AGUA FRIA,2021.0,BA,690.4300000000001
142,AGUA FRIA,2022.0,BA,519.7
143,AGUA FRIA DE GOIAS,2019.0,GO,308.77
144,AGUA FRIA DE GOIAS,2020.0,GO,384.78000000000003
145,AGUA FRIA DE GOIAS,2021.0,GO,109.43
146,AGUA FRIA DE GOIAS,2022.0,GO,731.99
147,AGUA FRIA DE GOIAS,2023.0,GO,0.0
148,AGUA LIMPA,2020.0,GO,13.86
149,AGUA LIMPA,2021.0,GO,3.34
150,AGUA NOVA,2021.0,RN,2.5
151,AGUA PRETA,2020.0,PE,6.14
152,AGUA PRETA,2022.0,PE,0.48
153,AGUA SANTA,2022.0,RS,7.74
154,AGUANIL,2021.0,MG,11.37
155,AGUANIL,2022.0,MG,24.32
156,AGUAS BELAS,2021.0,PE,42.38
157,AGUAS BELAS,2022.0,PE,18.76
158,AGUAS DE CHAPECO,2022.0,SC,2.73
159,AGUAS DE LINDOIA,2019.0,SP,3.7
160,AGUAS FORMOSAS,2019.0,MG,39.06
161,AGUAS FORMOSAS,2020.0,MG,55.72
162,AGUAS FORMOSAS,2021.0,MG,45.72
163,AGUAS FORMOSAS,2022.0,MG,87.47
164,AGUAS FORMOSAS,2023.0,MG,0.0
165,AGUAS FRIAS,2021.0,SC,1.98
166,AGUAS LINDAS DE GOIAS,2019.0,GO,24.82
167,AGUAS LINDAS DE GOIAS,2020.0,GO,15.700000000000001
168,AGUAS LINDAS DE GOIAS,2022.0,GO,2.56
169,AGUAS MORNAS,2020.0,SC,1.16
170,AGUAS MORNAS,2021.0,SC,6.85
171,AGUAS MORNAS,2022.0,SC,8.32
172,AGUAS MORNAS,2023.0,SC,0.7
173,AGUAS VERMELHAS,2019.0,MG,24.17
174,AGUAS VERMELHAS,2020.0,MG,64.53999999999999
175,AGUAS VERMELHAS,2021.0,MG,260.81
176,AGUAS VERMELHAS,2022.0,MG,83.63
177,AGUDO,2019.0,RS,4.99
178,AGUDO,2020.0,RS,6.0600000000000005
179,AGUDO,2022.0,RS,10.25
180,AGUDO,2023.0,RS,1.87
181,AGUDOS,2021.0,SP,0.62
182,AGUDOS DO SUL,2020.0,PR,8.5
183,AGUDOS DO SUL,2021.0,PR,17.29
184,AGUDOS DO SUL,2022.0,PR,20.4
185,AGUIA BRANCA,2019.0,ES,15.99
186,AGUIA BRANCA,2022.0,ES,10.620000000000001
187,AGUIAR,2020.0,PB,114.62
188,AGUIAR,2021.0,PB,64.07
189,AGUIAR,2022.0,PB,35.76
190,AGUIARNOPOLIS,2019.0,TO,286.46
191,AGUIARNOPOLIS,2020.0,TO,12.26
192,AGUIARNOPOLIS,2021.0,TO,157.31
193,AGUIARNOPOLIS,2022.0,TO,74.14
194,AIMORES,2019.0,MG,4.2
195,AIMORES,2020.0,MG,19.43
196,AIMORES,2021.0,MG,53.96
197,AIMORES,2022.0,MG,145.47
198,AIQUARA,2019.0,BA,65.01
199,AIQUARA,2020.0,BA,66.06
200,AIQUARA,2021.0,BA,25.44
201,AIQUARA,2022.0,BA,9.72
