,municipio,ano,uf,area_ha
0,ABAETETUBA,2020,PA,94.30000000000001
1,ABEL FIGUEIREDO,2016,PA,232.4
2,ABEL FIGUEIREDO,2017,PA,454.1
3,ABEL FIGUEIREDO,2018,PA,22.5
4,ABEL FIGUEIREDO,2019,PA,414.4
5,ABEL FIGUEIREDO,2020,PA,723.0
6,ABEL FIGUEIREDO,2021,PA,246.4
7,ABEL FIGUEIREDO,2022,PA,251.3
8,ABEL FIGUEIREDO,2023,PA,67.19999999999999
9,ABREULANDIA,2016,TO,614.0
10,ABREULANDIA,2017,TO,189.0
11,ABREULANDIA,2018,TO,470.8
12,ACAILANDIA,2016,MA,505.2
13,ACAILANDIA,2017,MA,424.1
14,ACAILANDIA,2018,MA,1662.6
15,ACAILANDIA,2019,MA,1338.0
16,ACAILANDIA,2020,MA,2296.8
17,ACAILANDIA,2021,MA,739.0
18,ACAILANDIA,2022,MA,2505.5
19,ACAILANDIA,2023,MA,105.8
20,ACARA,2016,PA,522.6999999999999
21,ACARA,2017,PA,731.7
22,ACARA,2018,PA,7396.2
23,ACARA,2019,PA,224.7
24,ACARA,2020,PA,590.6
25,ACARA,2021,PA,252.6
26,ACARA,2022,PA,88.5
27,ACARA,2023,PA,106.9
28,ACRELANDIA,2016,AC,675.8
29,ACRELANDIA,2017,AC,695.6
30,ACRELANDIA,2018,AC,1509.0
31,ACRELANDIA,2019,AC,1839.4
32,ACRELANDIA,2020,AC,1381.0
33,ACRELANDIA,2021,AC,1665.8
34,ACRELANDIA,2022,AC,1380.6
35,ACRELANDIA,2023,AC,98.1
36,AFUA,2016,PA,25.8
37,AFUA,2019,PA,165.5
38,AFUA,2020,PA,6.8
39,AGUA AZUL DO NORTE,2016,PA,19909.4
40,AGUA AZUL DO NORTE,2017,PA,25174.3
41,AGUA AZUL DO NORTE,2018,PA,627.6
42,AGUA AZUL DO NORTE,2019,PA,2296.3
43,AGUA AZUL DO NORTE,2020,PA,10040.0
44,AGUA AZUL DO NORTE,2021,PA,732.4
45,AGUA AZUL DO NORTE,2022,PA,3088.8
46,AGUA AZUL DO NORTE,2023,PA,34.6
47,AGUA BOA,2016,MT,759.1
48,AGUA BOA,2017,MT,1044.8
49,AGUA BOA,2018,MT,304.4
50,AGUIARNOPOLIS,2018,TO,78.2
51,ALENQUER,2016,PA,18679.8
52,ALENQUER,2017,PA,4901.8
53,ALENQUER,2018,PA,2776.1
54,ALENQUER,2019,PA,1920.8
55,ALENQUER,2020,PA,1813.1
56,ALENQUER,2021,PA,3692.6
57,ALENQUER,2022,PA,1195.8
58,ALENQUER,2023,PA,89.3
59,ALMEIRIM,2016,PA,13218.7
