,municipio,ano,uf,area_ha
0,ABADIA DOS DOURADOS,2018,MG,27.5
1,ABADIA DOS DOURADOS,2019,MG,77.6
2,ABADIA DOS DOURADOS,2020,MG,15.0
3,ABADIA DOS DOURADOS,2021,MG,24.0
4,ABADIA DOS DOURADOS,2022,MG,53.2
5,ABADIA DOS DOURADOS,2023,MG,4.4
6,ABADIANIA,2018,GO,76.7
7,ABADIANIA,2019,GO,79.0
8,ABADIANIA,2020,GO,21.5
9,ABADIANIA,2021,GO,113.69999999999999
10,ABADIANIA,2022,GO,43.1
11,ABADIANIA,2023,GO,19.799999999999997
12,ABAETE,2018,MG,867.8
13,ABAETE,2019,MG,577.9
14,ABAETE,2020,MG,144.5
15,ABAETE,2021,MG,101.6
16,ABAETE,2022,MG,106.9
17,ABAETE,2023,MG,17.1
18,ABREULANDIA,2018,TO,3010.8
19,ABREULANDIA,2019,TO,1187.8
20,ABREULANDIA,2020,TO,2794.8
21,ABREULANDIA,2021,TO,1152.2
22,ABREULANDIA,2022,TO,1470.8
23,ABREULANDIA,2023,TO,29.9
24,ACORIZAL,2018,MT,140.3
25,ACORIZAL,2019,MT,176.2
26,ACORIZAL,2020,MT,70.6
27,ACORIZAL,2022,MT,68.3
28,ACREUNA,2018,GO,234.0
29,ACREUNA,2019,GO,601.5
30,ACREUNA,2020,GO,252.4
31,ACREUNA,2021,GO,27.9
32,AFONSO CUNHA,2018,MA,591.4
33,AFONSO CUNHA,2019,MA,547.2
34,AFONSO CUNHA,2020,MA,717.0
35,AFONSO CUNHA,2021,MA,96.80000000000001
36,AFONSO CUNHA,2022,MA,186.29999999999998
37,AGUA BOA,2018,MT,3678.0
38,AGUA BOA,2019,MT,1146.1
39,AGUA BOA,2020,MT,1666.2
40,AGUA BOA,2021,MT,506.5
41,AGUA BOA,2022,MT,685.8
42,AGUA BOA,2023,MT,166.9
43,AGUA BRANCA,2022,PI,10.100000000000001
44,AGUA CLARA,2018,MS,330.90000000000003
45,AGUA CLARA,2019,MS,308.9
46,AGUA CLARA,2020,MS,565.3
47,AGUA CLARA,2021,MS,722.1
48,AGUA CLARA,2022,MS,607.5
49,AGUA DOCE DO MARANHAO,2018,MA,120.10000000000001
50,AGUA DOCE DO MARANHAO,2020,MA,68.7
51,AGUA DOCE DO MARANHAO,2022,MA,27.9
52,AGUA DOCE DO MARANHAO,2023,MA,4.9
53,AGUA FRIA DE GOIAS,2018,GO,1168.0
54,AGUA FRIA DE GOIAS,2019,GO,624.0
55,AGUA FRIA DE GOIAS,2020,GO,399.0
56,AGUA FRIA DE GOIAS,2021,GO,231.1
57,AGUA FRIA DE GOIAS,2022,GO,544.2
58,AGUA FRIA DE GOIAS,2023,GO,163.60000000000002
59,AGUANIL,2018,MG,4.1
60,AGUAS LINDAS DE GOIAS,2019,GO,28.9
61,AGUAS LINDAS DE GOIAS,2020,GO,9.6
62,AGUDOS,2018,SP,16.5
63,AGUIARNOPOLIS,2018,TO,216.3
64,AGUIARNOPOLIS,2019,TO,53.6
65,AGUIARNOPOLIS,2021,TO,85.80000000000001
66,AGUIARNOPOLIS,2022,TO,20.1
67,ALAMBARI,2018,SP,0.6
68,ALCINOPOLIS,2018,MS,1005.2
69,ALCINOPOLIS,2019,MS,1851.2
70,ALCINOPOLIS,2020,MS,1630.2
71,ALCINOPOLIS,2021,MS,929.0
72,ALCINOPOLIS,2022,MS,572.7
